X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18
27,3,34,28,32,20,40,38,30,4,2,16,6,8,10,33,22,24,35
15,3,34,28,32,20,40,39,30,4,1,16,5,8,9,42,43,24,35
27,3,34,28,32,20,40,38,30,4,1,16,5,8,10,33,22,24,35
27,3,34,28,32,20,40,38,30,4,1,16,5,8,10,33,22,24,35
15,3,34,28,12,20,40,38,31,4,1,16,5,8,9,42,43,25,35
27,3,34,28,32,20,40,38,30,4,1,17,5,8,10,33,22,24,35
15,26,34,28,32,20,40,38,30,4,2,13,6,8,10,42,43,24,35
27,3,34,28,32,20,40,38,30,4,2,17,6,8,10,33,22,24,35
27,3,34,28,12,20,40,38,30,4,1,16,5,8,10,33,22,25,35
27,3,34,28,32,20,40,38,30,4,1,16,5,8,10,33,22,24,35
27,26,34,28,32,20,40,38,30,4,2,16,6,8,10,33,22,24,35
27,3,34,29,12,20,40,38,30,4,1,18,5,7,11,33,22,24,35
15,3,34,28,32,20,40,39,30,4,1,16,5,8,10,42,43,24,35
27,3,34,28,32,20,40,38,30,4,2,13,6,8,10,33,22,0,35
27,26,34,28,12,19,40,38,30,4,2,16,6,8,9,33,22,24,35
27,3,34,28,32,20,40,38,30,4,2,17,6,8,10,33,22,24,35
27,3,34,28,12,20,40,38,31,4,1,18,5,8,10,33,22,25,35
27,3,34,28,32,20,40,38,30,4,2,13,6,8,10,33,22,24,35
27,3,34,28,12,20,40,38,31,4,1,18,5,8,10,33,22,25,35
27,26,34,28,32,19,40,38,30,4,2,16,6,8,10,33,22,0,35
27,3,34,28,32,20,40,38,30,4,1,16,5,8,10,33,22,0,35
27,3,34,29,12,20,41,38,30,4,1,18,5,7,11,33,22,24,35
27,3,34,28,32,20,40,38,30,4,2,13,6,8,10,33,22,0,35
27,3,34,28,32,20,40,38,30,4,1,16,6,8,10,33,22,24,35
27,3,34,29,12,20,41,38,30,4,1,18,5,7,11,33,22,24,35
27,3,34,28,12,20,40,37,30,4,1,18,5,8,10,33,22,24,35
27,3,34,28,32,20,40,38,30,4,2,13,6,8,10,33,22,24,35
15,3,34,28,12,20,40,38,30,4,1,14,5,8,9,42,43,25,35
27,26,34,28,32,19,40,38,30,4,2,16,6,8,9,33,22,24,35
15,3,34,28,32,20,40,38,31,4,1,13,5,8,10,42,43,25,35
27,3,34,28,12,20,40,38,30,4,2,13,6,7,10,33,22,24,35
27,3,34,28,32,20,40,38,30,4,1,16,5,8,10,33,22,24,35
27,3,34,28,32,20,40,38,30,4,1,16,5,8,10,33,22,24,35
44,3,34,28,12,20,41,38,30,4,1,21,5,7,10,45,23,24,35
15,3,34,28,12,20,40,38,31,4,1,21,5,8,10,42,43,25,35
27,3,34,28,12,20,40,38,30,4,1,16,5,8,10,33,22,25,35
27,3,34,29,12,20,40,38,30,4,1,18,5,8,11,33,22,25,35
27,3,34,29,12,20,40,38,30,4,1,18,5,8,11,33,22,24,35
27,3,34,28,12,20,40,38,30,4,1,18,5,8,11,33,22,25,35
27,3,34,28,32,20,40,38,30,4,2,13,6,8,10,33,22,24,35
27,3,34,28,32,20,40,38,30,4,2,16,6,8,10,33,22,24,35
27,3,34,28,32,20,40,38,30,4,1,16,6,8,10,33,22,24,35
27,3,34,28,32,20,40,38,30,4,2,13,6,8,10,33,22,24,35
27,3,34,28,32,20,40,38,30,4,1,16,5,8,10,33,22,24,35
27,26,34,28,32,19,40,38,30,4,2,16,5,8,10,33,22,24,35
44,3,34,29,12,20,41,38,30,4,1,18,5,7,11,45,23,24,35
27,26,34,28,32,19,40,38,30,4,2,16,6,8,10,33,22,24,35
27,3,34,28,32,20,40,38,30,4,2,17,6,8,10,33,22,24,35
44,3,34,28,12,20,40,38,30,4,1,21,5,8,10,45,23,24,35
27,3,34,28,12,20,40,38,30,4,2,13,6,8,10,33,22,24,35
27,26,34,28,32,20,40,38,30,4,2,13,6,8,10,33,22,0,35
27,26,34,28,32,20,40,38,30,4,2,13,6,8,10,33,22,24,35
27,3,34,28,32,20,40,38,30,4,2,14,6,8,10,33,22,24,35
27,3,34,28,32,20,40,38,30,4,2,13,6,8,10,33,22,24,35
27,3,34,28,32,20,40,38,30,4,1,21,5,8,10,33,22,24,35
27,3,34,28,12,20,40,38,30,4,2,13,6,8,10,33,22,24,35
27,3,34,28,32,20,40,38,30,4,1,13,5,8,10,33,22,24,35
27,3,34,28,32,20,40,38,30,4,2,13,6,8,10,33,22,0,35
27,26,34,28,32,20,40,38,30,4,2,13,6,8,10,33,22,24,35
15,3,34,29,32,20,41,37,30,4,1,16,5,7,10,42,43,24,35
15,3,34,28,32,20,40,39,30,4,1,16,5,8,9,42,43,24,35
27,26,34,28,32,20,40,38,30,4,2,13,6,8,10,33,22,24,35
27,3,34,28,32,20,40,38,30,4,1,13,6,8,10,33,22,24,35
27,3,34,28,32,20,40,38,30,4,2,13,6,8,10,33,22,24,35
15,3,34,28,12,20,40,38,31,4,1,21,5,8,10,42,43,25,35
27,3,34,28,32,19,40,38,30,4,2,13,6,8,10,33,22,24,35
44,3,34,29,12,20,40,38,30,4,1,18,5,8,11,45,23,24,35
27,3,34,28,32,20,40,38,30,4,2,17,6,8,10,33,22,24,35
27,26,34,28,32,20,40,38,30,4,2,13,6,8,10,33,22,0,35
27,3,34,28,32,20,40,38,30,4,2,13,6,8,10,33,22,24,35
27,3,34,28,32,20,40,38,30,4,1,16,5,8,10,33,22,24,35
27,3,34,29,32,20,41,38,30,4,1,18,5,7,11,33,22,24,35
27,3,34,28,12,20,40,38,30,4,1,18,5,8,10,33,22,24,35
15,3,34,28,32,20,40,38,31,4,1,16,5,8,9,42,43,25,35
27,3,34,28,32,20,40,38,30,4,2,13,6,8,10,33,22,24,35
27,3,34,28,32,20,40,38,30,4,2,13,6,8,10,33,22,24,35
27,3,34,28,32,20,40,39,30,4,1,16,5,8,9,33,22,24,35
15,3,34,28,12,20,40,38,30,4,1,14,5,8,9,42,43,25,35
15,3,34,28,12,20,40,38,30,4,1,13,5,7,10,42,43,25,35
27,3,34,29,12,20,40,38,30,4,1,18,5,8,11,33,22,24,35
27,3,34,28,32,20,40,38,30,4,1,16,6,8,10,33,22,0,35
44,3,34,29,32,20,40,38,30,4,1,18,5,7,11,45,23,24,35
15,3,34,28,12,20,40,38,31,4,1,16,5,8,9,42,43,25,35
27,3,34,29,32,20,41,38,30,4,1,18,5,7,11,33,22,24,35
27,3,34,28,32,20,40,38,30,4,2,13,6,8,10,33,22,24,35
27,3,34,28,12,20,40,38,30,4,2,17,6,8,10,33,22,24,35
15,3,34,28,12,20,40,38,31,4,1,16,5,8,10,42,43,25,35
27,3,34,28,32,20,40,38,30,4,2,13,6,8,10,33,22,0,35
27,3,34,29,32,20,41,38,30,4,1,18,5,7,11,33,22,24,35
15,3,34,28,12,20,40,38,31,4,1,21,5,8,10,42,43,25,35
27,26,34,28,32,20,40,38,30,4,2,18,6,8,10,33,22,24,35
44,3,34,28,12,20,41,38,30,4,1,16,5,7,10,45,23,24,35
27,3,34,28,12,20,40,38,30,4,1,16,5,8,9,33,22,0,35
27,3,34,28,32,20,40,38,30,4,1,16,5,8,10,33,22,24,35
27,3,34,28,32,19,40,38,30,4,2,13,6,8,10,33,22,24,35
15,3,34,28,12,20,40,37,30,4,1,21,5,8,10,42,43,24,36
15,3,34,28,12,20,40,38,30,4,1,14,5,8,9,42,43,25,35
15,3,34,28,12,20,40,37,30,4,1,21,5,8,10,42,43,24,35
15,3,34,28,32,20,40,39,30,4,1,16,5,8,9,42,43,24,35
